"county","age_group","population","susceptible","exposed","isolated","symptomatic","asymptomatic","hospitalized","deaths","recovered","vaccinated","cumulative_vaccinated"
"San Diego","50-64",563192,117168,0,0,60,60,17,0,110,3568,445777
"San Diego","65+",520717,101613,0,0,34,34,9,1,61,1263,418965
"San Francisco","0-17",41519,16498,0,0,13,13,3,0,12,1123,24980
"San Francisco","18-49",405437,80638,0,0,55,55,14,0,48,2185,324627
"San Francisco","50-64",167154,37682,0,0,18,18,5,0,16,728,129415
"San Francisco","65+",170172,58356,0,0,10,10,3,0,8,329,111785
"San Joaquin","0-17",70244,55128,0,0,16,16,5,0,26,924,15053
"San Joaquin","18-49",338919,205991,0,0,69,69,22,0,112,2238,132656
"San Joaquin","50-64",130275,52031,0,0,23,23,7,0,37,687,78154
"San Joaquin","65+",110152,38136,0,0,13,13,4,0,21,284,71965
"San Luis Obispo","0-17",16476,11490,0,0,2,2,1,0,3,331,4978
"San Luis Obispo","18-49",116889,63133,0,0,9,9,4,0,12,829,53722
"San Luis Obispo","50-64",51876,19061,0,0,4,4,1,0,3,204,32803
"San Luis Obispo","65+",62108,15465,0,0,1,1,1,1,2,91,46637
"San Mateo","0-17",59817,26375,0,0,11,11,2,0,13,1256,33405
"San Mateo","18-49",292775,51492,0,0,53,53,10,0,54,2132,241113
"San Mateo","50-64",158442,35609,0,0,18,18,3,0,18,654,122776
"San Mateo","65+",154916,48648,0,0,11,11,2,0,10,271,106234
"Santa Barbara","0-17",33297,21844,0,0,3,3,1,0,5,485,11441
"Santa Barbara","18-49",204144,95514,0,0,15,15,5,0,22,1193,108573
"Santa Barbara","50-64",71221,17659,0,0,5,5,2,0,7,320,53543
"Santa Barbara","65+",74848,19872,0,0,3,3,1,0,5,112,54964
"Santa Clara","0-17",160904,71409,0,0,18,18,7,0,24,3658,89428
"Santa Clara","18-49",826007,166906,0,0,80,80,30,0,109,6143,658802
"Santa Clara","50-64",374819,75539,0,0,28,28,10,0,36,1828,299178
"Santa Clara","65+",318544,90997,0,0,14,14,6,0,21,684,227492
"Santa Cruz","0-17",19797,9896,0,0,0,0,0,0,5,411,9896
"Santa Cruz","18-49",119067,45513,0,0,3,3,1,0,18,666,73529
"Santa Cruz","50-64",48609,7268,0,0,0,0,0,0,6,220,41335
"Santa Cruz","65+",52609,15833,0,0,0,0,0,0,3,68,36773
"Shasta","0-17",12821,11235,0,0,3,3,1,0,5,118,1574
"Shasta","18-49",66225,48813,0,0,11,11,3,0,20,316,17367
"Shasta","50-64",32890,17230,0,0,4,4,1,0,6,157,15645
"Shasta","65+",39798,17139,0,0,2,2,1,0,4,89,22650
"Sierra","0-17",144,136,0,0,0,0,0,0,0,2,8
"Sierra","18-49",808,456,0,0,0,0,0,0,2,2,350
"Sierra","50-64",717,316,0,0,0,0,0,0,0,1,401
"Sierra","65+",1140,524,0,0,0,0,0,0,0,0,616
