,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
6811,San Diego,8/30/2020,County,3370418,266,40151,5,719,2517,617583,88,32971,234,71,305
6867,San Diego,8/31/2020,County,3370418,394,40545,8,727,6302,623885,216,33187,233,73,306
6923,San Diego,9/1/2020,County,3370418,367,40912,0,727,6892,630777,292,33479,231,76,307
6979,San Diego,9/2/2020,County,3370418,358,41270,2,729,5822,636599,241,33720,220,70,290
7035,San Diego,9/3/2020,County,3370418,318,41588,2,731,5573,642172,229,33949,218,71,289
7091,San Diego,9/4/2020,County,3370418,313,41901,3,734,5537,647709,218,34167,219,59,278
7147,San Diego,9/5/2020,County,3370418,230,42131,5,739,3678,651387,148,34315,193,67,260
7203,San Diego,9/6/2020,County,3370418,193,42324,5,744,2856,654243,80,34395,195,71,266
7259,San Diego,9/7/2020,County,3370418,247,42571,3,747,2599,656842,97,34492,211,72,283
7315,San Diego,9/8/2020,County,3370418,398,42969,2,749,7426,664268,269,34761,219,59,278
7371,San Diego,9/9/2020,County,3370418,315,43284,3,752,6376,670644,233,34994,234,75,309
7427,San Diego,9/10/2020,County,3370418,287,43571,6,758,6591,677235,259,35253,232,53,285
7483,San Diego,9/11/2020,County,3370418,265,43836,3,761,6668,683903,203,35456,227,60,287
7539,San Diego,9/12/2020,County,3370418,219,44055,2,763,3950,687853,123,35579,218,59,277
7595,San Diego,9/13/2020,County,3370418,193,44248,4,767,2628,690481,72,35651,225,61,286
7651,San Diego,9/14/2020,County,3370418,325,44573,6,773,6420,696901,208,35859,225,48,273
7707,San Diego,9/15/2020,County,3370418,311,44884,5,778,7703,704604,264,36123,220,55,275
7763,San Diego,9/16/2020,County,3370418,318,45202,5,783,6791,711395,213,36336,224,60,284
7819,San Diego,9/17/2020,County,3370418,290,45492,2,785,6516,717911,244,36580,217,59,276
7875,San Diego,9/18/2020,County,3370418,280,45772,3,788,6476,724387,260,36840,208,41,249
7931,San Diego,9/19/2020,County,3370418,250,46022,4,792,3864,728251,159,36999,203,50,253
7987,San Diego,9/20/2020,County,3370418,228,46250,5,797,2574,730825,71,37070,211,56,267
8043,San Diego,9/21/2020,County,3370418,373,46623,4,801,6807,737632,272,37342,209,54,263
8099,San Diego,9/22/2020,County,3370418,284,46907,3,804,8113,745745,261,37603,210,50,260
8155,San Diego,9/23/2020,County,3370418,305,47212,2,806,6919,752664,235,37838,200,53,253
8211,San Diego,9/24/2020,County,3370418,276,47488,3,809,7712,760376,244,38082,196,45,241
8267,San Diego,9/25/2020,County,3370418,269,47757,2,811,7303,767679,250,38332,196,39,235
8323,San Diego,9/26/2020,County,3370418,202,47959,9,820,4323,772002,152,38484,197,42,239
8379,San Diego,9/27/2020,County,3370418,205,48164,3,823,4254,776256,130,38614,184,48,232
8435,San Diego,9/28/2020,County,3370418,343,48507,0,823,9724,785980,329,38943,199,58,257
8491,San Diego,9/29/2020,County,3370418,318,48825,4,827,10307,796287,375,39318,182,56,238
8547,San Diego,9/30/2020,County,3370418,277,49102,2,829,10468,806755,349,39667,187,43,230
8603,San Diego,10/1/2020,County,3370418,304,49406,1,830,9673,816428,332,39999,186,54,240
8659,San Diego,10/2/2020,County,3370418,282,49688,5,835,9398,825826,318,40317,203,56,259
8715,San Diego,10/3/2020,County,3370418,251,49939,3,838,6113,831939,211,40528,207,60,267
8771,San Diego,10/4/2020,County,3370418,231,50170,1,839,4142,836081,166,40694,203,53,256
8827,San Diego,10/5/2020,County,3370418,367,50537,3,842,11631,847712,348,41042,217,56,273
8883,San Diego,10/6/2020,County,3370418,336,50873,4,846,12603,860315,325,41367,214,66,280
8939,San Diego,10/7/2020,County,3370418,336,51209,4,850,11440,871755,365,41732,217,44,261
8995,San Diego,10/8/2020,County,3370418,315,51524,4,854,10959,882714,384,42116,215,47,262
9051,San Diego,10/9/2020,County,3370418,279,51803,6,860,8347,891061,274,42390,197,47,244
9107,San Diego,10/10/2020,County,3370418,276,52079,8,868,3815,894876,142,42532,195,52,247
9163,San Diego,10/11/2020,County,3370418,230,52309,1,869,3637,898513,123,42655,173,51,224
9219,San Diego,10/12/2020,County,3370418,350,52659,3,872,8561,907074,266,42921,178,52,230
9275,San Diego,10/13/2020,County,3370418,290,52949,0,872,12004,919078,353,43274,187,56,243
9331,San Diego,10/14/2020,County,3370418,293,53242,1,873,11493,930571,334,43608,181,43,224
9387,San Diego,10/15/2020,County,3370418,319,53561,3,876,11581,942152,393,44001,184,51,235
9443,San Diego,10/16/2020,County,3370418,283,53844,3,879,9454,951606,302,44303,189,46,235
9499,San Diego,10/17/2020,County,3370418,241,54085,3,882,5758,957364,226,44529,185,51,236
9555,San Diego,10/18/2020,County,3370418,224,54309,3,885,4418,961782,160,44689,189,54,243
9611,San Diego,10/19/2020,County,3370418,389,54698,7,892,11900,973682,379,45068,191,48,239
9667,San Diego,10/20/2020,County,3370418,387,55085,3,895,12926,986608,395,45463,199,34,233
9723,San Diego,10/21/2020,County,3370418,337,55422,0,895,10863,997471,342,45805,187,44,231
9779,San Diego,10/22/2020,County,3370418,350,55772,2,897,10859,1008330,362,46167,188,47,235
9835,San Diego,10/23/2020,County,3370418,386,56158,3,900,5832,1014162,187,46354,185,50,235
9891,San Diego,10/24/2020,County,3370418,306,56464,3,903,3693,1017855,103,46457,166,42,208
9947,San Diego,10/25/2020,County,3370418,277,56741,3,906,2888,1020743,85,46542,162,45,207
10003,San Diego,10/26/2020,County,3370418,463,57204,4,910,7614,1028357,199,46741,176,49,225
10059,San Diego,10/27/2020,County,3370418,392,57596,2,912,7199,1035556,173,46914,182,59,241
10115,San Diego,10/28/2020,County,3370418,473,58069,4,916,7384,1042940,307,47221,187,48,235
10171,San Diego,10/29/2020,County,3370418,382,58451,3,919,7840,1050780,241,47462,197,48,245
10227,San Diego,10/30/2020,County,3370418,465,58916,3,922,7824,1058604,268,47730,212,40,252
10283,San Diego,10/31/2020,County,3370418,404,59320,2,924,5340,1063944,252,47982,244,36,280
10339,San Diego,11/1/2020,County,3370418,453,59773,5,929,5441,1069385,224,48206,239,61,300
10395,San Diego,11/2/2020,County,3370418,686,60459,3,932,15462,1084847,581,48787,239,52,291
10451,San Diego,11/3/2020,County,3370418,722,61181,2,934,15340,1100187,656,49443,243,52,295
10507,San Diego,11/4/2020,County,3370418,675,61856,1,935,15153,1115340,707,50150,278,51,329
10563,San Diego,11/5/2020,County,3370418,644,62500,5,940,14104,1129444,745,50895,286,55,341
10619,San Diego,11/6/2020,County,3370418,624,63124,1,941,13174,1142618,593,51488,284,54,338
10675,San Diego,11/7/2020,County,3370418,522,63646,4,945,7339,1149957,377,51865,297,57,354
10731,San Diego,11/8/2020,County,3370418,511,64157,4,949,6048,1156005,301,52166,287,55,342
10787,San Diego,11/9/2020,County,3370418,842,64999,0,949,17224,1173229,764,52930,299,53,352
10843,San Diego,11/10/2020,County,3370418,854,65853,4,953,17074,1190303,817,53747,294,61,355
10899,San Diego,11/11/2020,County,3370418,889,66742,7,960,14332,1204635,861,54608,303,41,344
10955,San Diego,11/12/2020,County,3370418,934,67676,5,965,16929,1221564,913,55521,302,35,337
11011,San Diego,11/13/2020,County,3370418,978,68654,8,973,15492,1237056,816,56337,298,51,349
11067,San Diego,11/14/2020,County,3370418,848,69502,6,979,9786,1246842,644,56981,317,46,363
11123,San Diego,11/15/2020,County,3370418,765,70267,5,984,7262,1254104,499,57480,317,53,370
11179,San Diego,11/16/2020,County,3370418,1498,71765,9,993,22087,1276191,1272,58752,345,57,402
11235,San Diego,11/17/2020,County,3370418,1311,73076,5,998,22688,1298879,1355,60107,367,51,418
11291,San Diego,11/18/2020,County,3370418,1252,74328,8,1006,20838,1319717,1291,61398,369,65,434
11347,San Diego,11/19/2020,County,3370418,1293,75621,5,1011,20583,1340300,1477,62875,393,54,447
11403,San Diego,11/20/2020,County,3370418,1248,76869,4,1015,16529,1356829,1145,64020,411,51,462
11459,San Diego,11/21/2020,County,3370418,999,77868,6,1021,13568,1370397,1053,65073,439,46,485
11515,San Diego,11/22/2020,County,3370418,777,78645,8,1029,11059,1381456,750,65823,446,47,493
11571,San Diego,11/23/2020,County,3370418,1735,80380,5,1034,26866,1408322,1679,67502,470,56,526
11627,San Diego,11/24/2020,County,3370418,1462,81842,6,1040,22569,1430891,1704,69206,510,44,554
11683,San Diego,11/25/2020,County,3370418,1408,83250,4,1044,19140,1450031,1782,70988,545,42,587
11739,San Diego,11/26/2020,County,3370418,657,83907,6,1050,3634,1453665,409,71397,563,41,604
11795,San Diego,11/27/2020,County,3370418,1606,85513,9,1059,15075,1468740,1675,73072,599,38,637
11851,San Diego,11/28/2020,County,3370418,1192,86705,8,1067,11735,1480475,1316,74388,627,46,673
11907,San Diego,11/29/2020,County,3370418,1250,87955,5,1072,10351,1490826,1018,75406,658,40,698
11963,San Diego,11/30/2020,County,3370418,2405,90360,4,1076,27709,1518535,2355,77761,696,35,731
12019,San Diego,12/1/2020,County,3370418,2356,92716,7,1083,26547,1545082,2242,80003,685,48,733
12075,San Diego,12/2/2020,County,3370418,2249,94965,12,1095,24973,1570055,2357,82360,705,56,761
12131,San Diego,12/3/2020,County,3370418,1914,96879,15,1110,25171,1595226,2344,84704,743,54,797
12187,San Diego,12/4/2020,County,3370418,1811,98690,14,1124,21026,1616252,2105,86809,772,35,807
12243,San Diego,12/5/2020,County,3370418,1478,100168,11,1135,14818,1631070,1651,88460,790,45,835
12299,San Diego,12/6/2020,County,3370418,1350,101518,13,1148,11498,1642568,1268,89728,817,54,871
12355,San Diego,12/7/2020,County,3370418,3028,104546,19,1167,29274,1671842,3015,92743,867,41,908
12411,San Diego,12/8/2020,County,3370418,2779,107325,15,1182,25855,1697697,2691,95434,874,59,933
12467,San Diego,12/9/2020,County,3370418,3362,110687,15,1197,26133,1723830,3356,98790,905,50,955
12523,San Diego,12/10/2020,County,3370418,2973,113660,29,1226,22954,1746784,2873,101663,902,61,963
12579,San Diego,12/11/2020,County,3370418,2521,116181,13,1239,19126,1765910,2312,103975,928,73,1001
12635,San Diego,12/12/2020,County,3370418,1950,118131,20,1259,15237,1781147,2127,106102,976,61,1037
12691,San Diego,12/13/2020,County,3370418,1618,119749,16,1275,11220,1792367,1455,107557,994,40,1034
12747,San Diego,12/14/2020,County,3370418,3593,123342,19,1294,30827,1823194,3804,111361,1019,63,1082
12803,San Diego,12/15/2020,County,3370418,3723,127065,29,1323,28105,1851299,3646,115007,1103,70,1173
12859,San Diego,12/16/2020,County,3370418,3561,130626,18,1341,27323,1878622,3707,118714,1126,60,1186
12915,San Diego,12/17/2020,County,3370418,3087,133713,21,1362,26184,1904806,3507,122221,1164,55,1219
12971,San Diego,12/18/2020,County,3370418,2786,136499,35,1397,24770,1929576,3189,125410,1204,49,1253
13027,San Diego,12/19/2020,County,3370418,2166,138665,23,1420,18370,1947946,2598,128008,1211,53,1264
13083,San Diego,12/20/2020,County,3370418,1753,140418,20,1440,14986,1962932,1763,129771,1248,46,1294
13139,San Diego,12/21/2020,County,3370418,3703,144121,31,1471,35351,1998283,3942,133713,1314,61,1375
13195,San Diego,12/22/2020,County,3370418,3432,147553,31,1502,31050,2029333,3932,137645,1340,70,1410
13251,San Diego,12/23/2020,County,3370418,3343,150896,24,1526,28241,2057574,3747,141392,1404,62,1466
13307,San Diego,12/24/2020,County,3370418,2410,153306,25,1551,17565,2075139,2611,144003,1405,64,1469
13363,San Diego,12/25/2020,County,3370418,1082,154388,33,1584,3893,2079032,808,144811,1416,41,1457
13419,San Diego,12/26/2020,County,3370418,2470,156858,36,1620,19165,2098197,3346,148157,1440,41,1481
13475,San Diego,12/27/2020,County,3370418,2520,159378,27,1647,15430,2113627,2632,150789,1481,45,1526
13531,San Diego,12/28/2020,County,3370418,4394,163772,44,1691,31727,2145354,4777,155566,1504,56,1560
13587,San Diego,12/29/2020,County,3370418,4727,168499,50,1741,30749,2176103,5132,160698,1470,62,1532
13643,San Diego,12/30/2020,County,3370418,4206,172705,37,1778,30511,2206614,4940,165638,1499,50,1549
13699,San Diego,12/31/2020,County,3370418,3618,176323,29,1807,23497,2230111,3890,169528,1487,56,1543
13755,San Diego,1/1/2021,County,3370418,1761,178084,45,1852,8083,2238194,1388,170916,1497,63,1560
13811,San Diego,1/2/2021,County,3370418,3070,181154,28,1880,21701,2259895,3957,174873,1486,57,1543
13867,San Diego,1/3/2021,County,3370418,2586,183740,40,1920,16480,2276375,2847,177720,1507,52,1559
13923,San Diego,1/4/2021,County,3370418,5236,188976,27,1947,36499,2312874,5667,183387,1537,48,1585
13979,San Diego,1/5/2021,County,3370418,4559,193535,39,1986,33043,2345917,5076,188463,1585,61,1646
14035,San Diego,1/6/2021,County,3370418,4127,197662,39,2025,31107,2377024,4662,193125,1661,71,1732
14091,San Diego,1/7/2021,County,3370418,3483,201145,43,2068,31418,2408442,4394,197519,1685,71,1756
14147,San Diego,1/8/2021,County,3370418,3290,204435,34,2102,27642,2436084,3891,201410,1695,68,1763
14203,San Diego,1/9/2021,County,3370418,2523,206958,36,2138,19506,2455590,2959,204369,1691,60,1751
14259,San Diego,1/10/2021,County,3370418,1688,208646,37,2175,14652,2470242,2045,206414,1697,58,1755
14315,San Diego,1/11/2021,County,3370418,3647,212293,48,2223,33772,2504014,4201,210615,1725,61,1786
14371,San Diego,1/12/2021,County,3370418,3250,215543,41,2264,29986,2534000,3676,214291,1721,69,1790
14427,San Diego,1/13/2021,County,3370418,2896,218439,47,2311,27421,2561421,3337,217628,1719,56,1775
14483,San Diego,1/14/2021,County,3370418,2595,221034,44,2355,26010,2587431,3233,220861,1728,57,1785
14539,San Diego,1/15/2021,County,3370418,2380,223414,58,2413,22883,2610314,2911,223772,1720,65,1785
14595,San Diego,1/16/2021,County,3370418,1741,225155,40,2453,14837,2625151,2044,225816,1696,65,1761
14651,San Diego,1/17/2021,County,3370418,1297,226452,49,2502,10799,2635950,1418,227234,1664,69,1733
14707,San Diego,1/18/2021,County,3370418,2182,228634,36,2538,20114,2656064,2213,229447,1632,73,1705
14763,San Diego,1/19/2021,County,3370418,2634,231268,42,2580,25874,2681938,2425,231872,1658,62,1720
14819,San Diego,1/20/2021,County,3370418,2405,233673,43,2623,23941,2705879,2430,234302,1585,62,1647
14875,San Diego,1/21/2021,County,3370418,1847,235520,35,2658,25334,2731213,2358,236660,1536,69,1605
14931,San Diego,1/22/2021,County,3370418,1765,237285,34,2692,21414,2752627,2177,238837,1501,63,1564
14987,San Diego,1/23/2021,County,3370418,1233,238518,36,2728,11399,2764026,1285,240122,1467,55,1522
15043,San Diego,1/24/2021,County,3370418,1057,239575,40,2768,9672,2773698,1014,241136,1440,51,1491
15099,San Diego,1/25/2021,County,3370418,1686,241261,32,2800,22507,2796205,1766,242902,1429,63,1492
15155,San Diego,1/26/2021,County,3370418,1607,242868,34,2834,20822,2817027,1801,244703,1410,62,1472
15211,San Diego,1/27/2021,County,3370418,1485,244353,40,2874,21400,2838427,1767,246470,1343,61,1404
15267,San Diego,1/28/2021,County,3370418,1321,245674,31,2905,22093,2860520,1720,248190,1328,55,1383
15323,San Diego,1/29/2021,County,3370418,1146,246820,32,2937,15511,2876031,1221,249411,1317,58,1375
15379,San Diego,1/30/2021,County,3370418,937,247757,30,2967,11270,2887301,1188,250599,1310,42,1352
15435,San Diego,1/31/2021,County,3370418,760,248517,36,3003,10517,2897818,731,251330,1306,41,1347
15491,San Diego,2/1/2021,County,3370418,1307,249824,43,3046,32799,2930617,2236,253566,1258,76,1334
15547,San Diego,2/2/2021,County,3370418,1222,251046,27,3073,34152,2964769,2631,256197,1233,51,1284
15603,San Diego,2/3/2021,County,3370418,1037,252083,27,3100,31094,2995863,2347,258544,1202,52,1254
15659,San Diego,2/4/2021,County,3370418,900,252983,31,3131,30926,3026789,2066,260610,1142,47,1189
15715,San Diego,2/5/2021,County,3370418,786,253769,23,3154,24125,3050914,1806,262416,1100,38,1138
