"county","age_group","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14","day15","day16","day17","day18","day19","day20","day21","day22","day23","day24","day25","day26","day27","day28","day29","day30","day31","day32","day33","day34","day35","day36","day37","day38","day39","day40","day41","day42","day43","day44","day45","day46","day47","day48","day49","day50","day51","day52","day53","day54","day55","day56","day57","day58","day59","day60","day61","day62","day63","day64","day65","day66","day67","day68","day69","day70","day71","day72","day73","day74","day75","day76","day77","day78","day79","day80","day81","day82","day83","day84","day85","day86","day87","day88","day89","day90","day91"
"Inyo","50-64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inyo","65+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern","0-17",235,235,235,235,235,235,235,219,219,219,219,219,219,219,199,199,199,199,199,199,199,179,179,179,179,179,179,179,158,158,158,158,158,158,158,137,137,137,137,137,137,137,119,119,119,119,119,119,119,102,102,102,102,102,102,102,87,87,87,87,87,87,87,74,74,74,74,74,74,74,63,63,63,63,63,63,63,53,53,53,53,53,53,53,45,45,45,45,45,45,45
"Kern","18-49",191,191,191,191,191,191,191,153,153,153,153,153,153,153,123,123,123,123,123,123,123,100,100,100,100,100,100,100,81,81,81,81,81,81,81,66,66,66,66,66,66,66,54,54,54,54,54,54,54,44,44,44,44,44,44,44,37,37,37,37,37,37,37,30,30,30,30,30,30,30,25,25,25,25,25,25,25,21,21,21,21,21,21,21,18,18,18,18,18,18,18
"Kern","50-64",52,52,52,52,52,52,52,40,40,40,40,40,40,40,31,31,31,31,31,31,31,24,24,24,24,24,24,24,18,18,18,18,18,18,18,14,14,14,14,14,14,14,11,11,11,11,11,11,11,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3
"Kern","65+",41,41,41,41,41,41,41,35,35,35,35,35,35,35,30,30,30,30,30,30,30,26,26,26,26,26,26,26,23,23,23,23,23,23,23,20,20,20,20,20,20,20,18,18,18,18,18,18,18,15,15,15,15,15,15,15,14,14,14,14,14,14,14,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9
"Kings","0-17",26,26,26,26,26,26,26,20,20,20,20,20,20,20,16,16,16,16,16,16,16,12,12,12,12,12,12,12,9,9,9,9,9,9,9,7,7,7,7,7,7,7,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Kings","18-49",20,20,20,20,20,20,20,16,16,16,16,16,16,16,13,13,13,13,13,13,13,10,10,10,10,10,10,10,8,8,8,8,8,8,8,7,7,7,7,7,7,7,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Kings","50-64",3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kings","65+",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake","0-17",8,8,8,8,8,8,8,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake","18-49",25,25,25,25,25,25,25,23,23,23,23,23,23,23,20,20,20,20,20,20,20,18,18,18,18,18,18,18,16,16,16,16,16,16,16,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7
"Lake","50-64",8,8,8,8,8,8,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lake","65+",5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lassen","0-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen","18-49",2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
